prev_cluster,cluster
21,3
3,42
7,9
9,30
30,37
37,2
3,4
4,2
2,20
20,14
14,2
2,37
37,1
1,2
30,30
30,30
30,28
21,21
21,2
2,21
17,27
27,45
45,14
14,14
0,0
0,22
12,12
12,12
12,31
31,28
28,28
28,30
30,2
2,14
14,45
45,11
11,17
20,9
9,11
11,9
9,9
9,20
20,2
16,3
3,3
5,16
16,16
16,40
40,5
27,27
4,31
31,31
31,4
4,4
30,28
28,28
28,28
28,28
28,28
28,30
30,28
34,34
34,34
34,22
22,34
34,10
10,10
10,34
34,34
34,34
25,16
32,45
45,37
37,42
42,20
9,16
16,9
9,9
9,16
2,2
30,30
30,30
30,30
30,41
41,3
3,2
2,3
3,21
21,45
45,9
9,21
21,31
3,21
21,28
28,3
3,14
14,9
40,20
20,20
20,27
27,40
40,9
9,2
2,20
25,25
7,7
7,21
25,45
45,2
2,2
2,20
20,46
46,7
7,25
14,23
23,5
5,30
30,14
14,2
16,16
16,11
11,2
2,2
2,20
20,20
20,2
2,20
20,37
37,14
25,11
11,16
16,2
2,25
25,25
25,9
9,14
30,30
30,2
2,4
4,20
20,30
32,15
15,40
40,40
40,20
20,14
48,25
25,25
25,40
40,14
14,30
30,11
2,22
22,22
22,11
11,4
4,30
28,30
30,30
30,3
3,18
18,4
2,5
2,22
46,5
27,30
21,3
3,45
45,45
45,11
11,21
21,20
20,32
32,14
30,30
30,1
1,0
0,47
19,10
2,3
3,21
21,3
48,30
30,41
41,37
37,0
4,4
4,3
3,45
45,46
46,21
22,10
10,22
22,10
5,2
2,16
16,40
21,21
21,5
5,17
17,21
21,3
3,3
3,3
3,2
30,12
12,30
30,10
10,30
30,10
10,10
10,44
44,19
19,9
9,19
19,19
19,19
19,19
19,5
5,15
15,44
44,19
19,44
40,10
30,5
25,20
20,46
28,9
9,9
9,41
41,9
9,37
37,41
41,37
37,39
40,40
40,23
23,20
20,2
2,30
30,5
30,17
17,7
30,40
40,27
27,16
16,0
45,42
42,30
30,2
2,2
2,32
32,1
1,45
45,45
45,1
1,6
6,1
1,31
31,1
1,4
4,4
9,25
25,25
25,25
25,25
22,10
2,2
2,14
14,3
3,3
3,3
3,42
42,17
3,28
28,3
3,2
2,28
28,21
30,40
40,23
41,9
9,9
9,9
9,0
7,7
7,20
20,45
27,1
30,16
16,3
3,14
20,0
0,30
24,24
24,30
30,16
16,15
15,14
14,16
16,5
5,16
16,16
31,3
3,4
4,39
39,20
25,27
30,22
22,10
10,10
10,2
2,10
10,14
14,10
10,10
16,40
40,37
37,2
2,37
37,16
16,2
2,2
2,37
37,37
37,20
20,2
2,20
20,40
30,10
10,22
22,48
48,10
15,33
12,12
12,12
12,12
12,12
22,32
25,27
27,27
27,27
27,27
27,23
23,23
12,30
30,3
21,15
15,11
11,0
0,23
23,0
0,42
42,21
21,11
11,20
4,30
30,30
30,30
30,30
5,37
37,14
14,8
8,3
3,3
3,2
3,30
30,30
28,30
30,3
3,30
30,3
3,3
3,3
3,21
5,14
30,41
41,3
3,30
21,21
21,21
14,30
30,30
30,28
28,2
30,30
30,25
25,0
0,26
26,26
26,27
27,8
8,2
2,40
40,25
25,25
25,40
40,25
25,40
3,14
14,39
39,31
31,3
12,12
12,3
3,2
2,21
21,3
3,3
12,12
16,41
2,21
21,21
21,17
42,23
23,13
13,42
42,1
1,2
2,20
20,32
32,1
1,20
20,32
32,3
3,21
20,9
9,30
30,3
3,9
9,27
23,46
46,42
42,33
33,42
42,42
42,42
42,1
44,10
10,3
47,47
47,25
25,4
4,16
16,47
30,30
17,4
4,31
31,4
3,25
25,8
3,20
20,3
3,20
20,17
37,20
20,20
20,20
48,30
30,2
2,2
2,30
30,10
10,2
2,22
22,10
10,22
30,30
30,30
30,30
40,2
2,46
46,46
46,27
27,11
11,5
40,25
25,16
30,13
14,30
30,2
2,30
3,7
7,7
7,9
9,13
13,13
13,5
5,5
5,5
5,21
21,23
46,2
2,11
11,37
37,37
37,7
7,7
7,8
8,8
8,20
22,12
6,1
1,0
0,0
12,14
14,3
30,30
30,7
30,30
30,2
2,20
20,40
40,20
2,14
14,30
30,2
2,14
30,4
4,17
17,21
21,13
14,16
16,32
32,0
0,25
25,40
40,2
2,16
42,17
17,9
9,3
3,9
9,30
30,3
3,21
21,3
16,16
16,9
17,21
21,3
40,40
40,46
46,46
46,46
46,40
40,20
14,30
30,3
3,48
7,7
7,8
8,2
2,3
3,14
20,37
37,24
24,20
20,45
5,14
14,42
9,14
14,30
30,13
13,13
13,4
4,2
2,31
31,7
7,31
31,3
3,15
15,13
7,26
26,26
26,22
30,48
48,3
24,2
2,2
2,4
4,21
25,30
30,20
28,17
17,14
14,3
3,17
17,30
30,39
39,3
3,30
30,39
22,22
22,11
16,47
46,2
2,2
2,40
40,20
17,4
4,30
30,4
4,4
4,9
25,2
2,2
2,12
27,46
46,2
2,40
40,46
46,46
2,3
3,2
22,20
10,10
10,9
9,10
10,10
2,2
2,2
27,40
40,46
46,40
40,25
25,16
41,30
16,30
30,16
3,30
30,37
37,40
40,11
39,37
37,13
13,1
1,13
10,11
11,46
46,10
10,2
2,22
22,30
30,22
40,14
14,40
40,14
34,30
30,45
10,48
48,30
30,10
10,10
10,10
23,3
3,17
17,42
42,3
3,1
1,17
17,17
17,3
3,4
12,12
12,12
9,32
32,0
0,0
30,6
6,6
6,6
2,7
7,40
3,11
11,4
4,4
4,3
3,4
4,37
37,39
39,4
4,42
42,4
4,4
4,9
9,2
30,41
41,22
22,10
10,22
22,10
10,10
10,22
22,22
30,28
9,10
10,44
5,7
7,11
11,5
22,22
22,10
10,10
30,7
7,30
30,30
30,30
30,3
3,24
24,11
11,30
30,30
30,46
46,4
4,30
30,30
30,30
30,16
