,name,description,cluster
215,Преподаватель спец. дисциплин,"Предование дисциплин : ""Техническое обслуживание и ремонт автомобилей"", ""Устройство и ремонт автомобилей"", ""Правила дорожного движения и безопасности"", ""Охрана труда""",0
129,аспрант кафедры Растениеводства и селекции,учеба в аспирантуре,0
49,Доцент кафедры животноводства,"Преподавал предметы: зоогигиена, птицеводство, овцеводство, генетику и технология переработки продуктов животноводства.",0
2642,Инструктор по обучению,"Мои обязанности: обучать новых сотрудников навыкам работы в ресторане, служить примером для подражания, показывая отличные навыки работы на любой позиции. Так же являюсь лидером такого подразделения работников, как доставка.",0
128,"доцент кафедры растениеводства, кандидат с/х наук",преподавание теоретических и практических основ технологий выращивания с/х культур,0
2593,Мастер производственного обучения,"Обучение учащихся к навыкам вождения, ремонту авто-мото транспорта, тракторов. Обучения к обработке почвы, возделыванию полей, сельхоз угодий, к посеву зерно-бобовых культур, уходу и уборке.",0
4188,"доцент,заведующая кафедрой менеджмента и агробизнеса",образование,0
2388,Преподаватель кафедры ремонта машин,"Обучение студентов.

Разработка учебного и методического обеспечения различного уровня.",0
2636,"Заведующий лаборатории, ассистент кафедры растениеводства","Руководство вновь созданной лаборатории микроклонального размножения картофеля (технология меристем). Обучение студентов на кафедре по предмету биотехнологии в сельском хозяйстве. Защита кандидатской диссертации в НИИКХ по теме ""Влияние биологически активных веществ на рост и развитие семенного картофеля"". Перевод лаборатории на хозрасчёт и самоокупаемость, создание питомника-коллекции порядка 80-ти перспективных сортов картофеля для районирования в Псковской области и Северо-Западном регионе. Внедрение в производственную практику использования сортов Сантэ и Луговской.",0
710,Мастер производственного обучения,"Контроль группы учащихся, проведение учебных и производственных занятий.",0
1750,преподаватель технических дисциплин,"Преподавал технические дисциплины (устройство и ремонт автомобилей),

    За время работы выпустил одну группу в качестве классного руководителя: научилсяч управлять молодым коллективом - за три года ни один студент не был отчислен, по итогам выпуска группа заняла первое место по колледжу (2004 год).",0
54,От ассистента до доцента кафедры животноводства,"Преподавал предметы: зоогигиена, строительное дело и основы ветеринарии.",0
1490,Инструктор по обучению вождения,Обучение вождения,0
2257,"Механик, мастер производственного обучения, преподаватель.","Обеспечение бесперебойной работы техники и гаражного хозяйства учебного заведения, в т.ч. в период полевых и уборочных работ. Выпуск автомобилей на линию. Процесс обучения студентов техническим дисциплинам эксплуатации, ремонта и ТО автотракторной техники, преподавание навыков вождения.",0
2054,старший преподаватель кафедры ветеринарии,"ведение практических и лекционных учебных занятий, опубликовано 41 научных трудов.",0
1494,старший преподаватель,"осуществление педагогической деятельности: ведение занятий  по следующим дисциплинам: «Сельскохозяйственная энтомология», «Защита от вредителей в закрытом грунте», «Защита от вредителей», «Защита парковых и газонных насаждений», «География», «Физиология растений», «Экологические основы природопользования», «Геодезия»;  руководство ВКР у студентов; кураторство СНО агротехнологического факультета; участие в Совете молодых ученых; кураторство студенческой группы; проведение научных исследований и по  их итогам подготовка публикаций и информационных материалов; разработка УМК  и сопутствующих материалов в рамках проведения аккредитации вуза; агитационная деятельность в районах Курской области; участие в работе приемной комиссии вуза; участие в организации конференций, форумов  и.т.д.; разработка патентов и информационных баз; ведение работы в коллекционном саду вуза.",0
713,"преподаватель кафедры "" Растениеводство и кормопроизводство""",Проведение практических и лекционных занятий на кафедре.,0
2180,Мастер производственного обучения,Был мастером производственного обучения по вождению и ремонту тракторов и с/х техники.,0
1579,1/2 ставки Агроном+обучение в аспирантуре,"Обязанности, функции:

как аспирант - проведение нир по теме диссертации

как агроном - контроль выполнения агротехнологий выращивания сельскохозяйственных культур

 Составление технологических карт, составление севооборотов, ротационных таблиц и т.д.",0
1147,"Методист, преподаватель","Изучение и разработка методов преподавания. План работы преподавательского коллектива, координидинация его деятельности, планирование повышения квалификации преподавателей, организация семинаров, конференции, учебных курсов и т.д.
Чтение лекций.
Проведение проведение практических занятий и семинаров, самостоятельных занятий.
Прием и проверка курсовых работ, рефератов, письменных контрольных работ.
Прием зачетов и экзаменов.
Планирование самостоятельной работы студентов и руководство такой работой.
Разработка рабочих программ учебных дисциплин, ФОС.  Разработка и составление учебных программ и планов курсов ДПО.",0
2707,"Специалист по охране труда, преподаватель.","Проведение инструктажей,контроль выполнения правил по ОТ,отчетность по ОТ по установленным формам и в соответствующие сроки .",0
2181,Мастер производственного обучения,Был мастером производственного обучения по вождению и ремонту тракторов и с/х техники.,0
4308,Мастер производственного обучения,Обучение устройства и эксплуатации автомобилей.,0
4317,преподаватель ветеринарных дисциплин,"Составление планов КТП. Проведение практики по искусственному осеменению разных видов животных, различными способами. Учил студентов правильно делать инъекции( в/в, п/к, в/м, в/к), кастрация.",0
2935,Инженер-электрик,"Ответственное лицо за энергохозяйства; 

Контроль работы оборудования (работающего и резервного);

 Планирование и контроль за проведением текущего и капитальных ремонтов;

 Контроль и анализ расхода вспомогательных материалов; 

 Планирование и проведение реконструкции и модернизации производства;

 Контроль и анализ расхода вспомогательных материалов;

Планирование и проведение реконструкции и модернизации производства;

Проведение тендеров;

Работа с поставщиками оборудования и подрядными организациями при модернизации и реконструкции (договорная работа, подбор оборудования);

Выполнение функций лица по надзору за работой опасных производственных объектов,

грузоподъемных машин и механизмов,

подлежащих регистрации в Ростехнадзоре;

Аттестация рабочих основного производства.

Руководство производственно-хозяйственной деятельностью предприятия.

Проводит работу по совершенствованию организации производственного процесса, внедрению прогрессивной технологии, эффективному использованию техники, повышению профессионального мастерства работников в целях повышения качества выпускаемой продукции.

Составляет заявки на необходимое сырье, обеспечивает их своевременное получение со склада, контролирует сроки, ассортимент, количество и качество их поступления и реализации.

Осуществляет постоянный контроль над технологией производства, нормами закладки сырья

Организует учет, составление и своевременное представление отчетности о производственной дея-тельности, внедрение передовых приемов и методов труда.

Контролирует правильную эксплуатацию оборудования и других основных средств.

Проводит инструктаж и контроль соблюдения работниками правил и норм охраны труда и техники безопасности

Проводит работу по повышению квалификации работников.",1
2372,Начальник отдела обеспечения производства,"Обеспечение безаварийной  работы всех видов оборудования,  своевременный  ремонт и техническое обслуживание,

Осуществление технического надзора за состоянием и ремонтом защитных устройств на механическом оборудовании, зданий и сооружений цеха.

Организация учета всех видов оборудования, а также отработавшего амортизационный срок и морально устаревшего, подготовку документов на их списание.

Осуществляет техническое руководство смазочно-эмульсионным хозяйством, внедряет прогрессивные нормы расхода смазочных и обтирочных материалов, организует регенерацию отобранных масел.

Участвует в проверке оборудования цеха на техническую точность, в установлении оптимальных режимов работы оборудования, способствующих его эффективному использованию, в разработке инструкций по технической эксплуатации, смазке оборудования и уходу за ним, безопасному ведению ремонтных работ.

Рассматривает рационализаторские предложения и изобретения, касающиеся ремонта и модернизации оборудования, дает заключения по ним, обеспечивает внедрение принятых организаций.

Организует учет выполнения работ по ремонту и модернизации оборудования, контролирует их качество, а также правильность расходования материальных ресурсов, отпущенных на эти цели.

Обеспечивает соблюдение правил и норм охраны труда, требований экологической безопасности при производстве ремонтных работ.

Руководит работниками подразделения предприятия, осуществляющими ремонт оборудования и поддержание его в работоспособном состоянии.",1
3918,Заместитель начальника мясоперерабатывающего цеха,"Должностные обязанности и достижения:

- руководство производственным процессом на всех стадиях, координация работы подразделений;

- обеспечение условий для увеличения валового продукта предприятия, снижения общезаводских затрат;

- повышение эффективности производственных процессов: разработка и внедрение производственной программы предприятия (планирование производственных мощностей, определение потребности в оборудовании, дополнительном песонале, складских площадях);

- усиление контроля качества выпускаемой продукции, обеспечение решения вопросов автоматизации в рамках постановки технического задания IT-службе;

- повышение эффективности производственно-логистических процессов: оптимизация системы снабжения, минимизация цен, повышение надёжности поставок;

- ведение складского хозяйства, доставки продукции (повышение оборачиваемости запасов, ускорение отгрузки продукции);

- планирование деятельности всех подразделений, составление бюджета;

- подбор кадров, оптимизация численности, формирование позитивного социально-психологического климата в коллективе;

- Достижения:

- создание коллектива, с едиными целями, задачами, установками;

- увеличение валового продукта комбината;

- снижение общезаводских затрат, оптимизация производственных процессов",1
3405,Главный тхнолог,"Запуск цеха убоя скота (участие в проекте строительства цеха, подготовка необходимых технологических расчетов, подбор оборудования) .

Управление технологией серийного производства. 

Постановка на производство серийной продукции. Запуск линии убоя и обработки скота. Отработка технологического цикла.

Совершенствование организации и технологии.

Организация и контроль деятельности подчиненных сотрудников.

Составление планов размещения оборудования, технического оснащения и организации рабочих мест, расчет производственные мощности и загрузку оборудования. 

Оперативная отработка технологических режимов, предупреждение выпуска продукции в потоке не соответствующего качества.

Контроль над соблюдением персоналом санитарных и технологических норм.

Контроль за остатками и движением сырья и материалов. 

Разработка корректирующих и предупреждающих мер при выработке продукции, не соответствующей установленным требованиям.

Разработка технологических нормативов, инструкции, маршрутных карт и другой технологической и методической документации.

Совместно с экономистом анализ результатов деятельности подразделений цеха в целом с целью повышения качества, эффективности их работы и разработка предупреждающих действий.

Изучение передовой отечественного и зарубежного опыта в области технологии производства, разработка и принятие участия в реализации мероприятий по повышению эффективности  производства, направленных на снижение трудоемкости продукции, повышение качества и производительности труда.",1
3102,Начальник комбикормового цеха (завода),"Исполнял обязанности директора, главного инженера, технолога крупяного производства, а так же менеджера по работе с ЖД в одном лице.

Работали преимущественно с группой компаний ""Содружество""

(! не имея хорошего зерна умудрялись грузить вагоны так, что ни одного вагона возвращено не было)

Участие и победа в арбитражном суде против прокуратуры из-за проверки РосСельхозНадзора, хотя ими были предоставлены убедительные доказательства вины предприятия сопровождённые фотоснимками.



Основные достижения:

- управление работой предприятия и организация взаимодействия внутренних подразделений.

- внедрение системы бюджетирования расходов на предприятии.

- повышение эффективности работы линии фасовки зерна в 3 раза.

- проектирование, наладка и запуск линии производства перловой и гороховой круп.

- организация бесперебойной работы линий по приёмке зерна и отгрузки в ЖД вагоны.

- грамотное взаимодействие с проверяющими органами.

- знакомство с рынком зерна: производителями, условиями хранения, ассортиментом производимой продукции, количественными и качественными показателями выращиваемого зерна, используемыми технологиями, сортовым составом и пр.

- знакомство с методами анализа качества зерна, порядком отбора проб, логистики, приёмки, требованиям по его хранению, переработке и отгрузки.

- составление чертежей, смет и договоров, разработка технической и сопроводительной документации.

- знакомство с оборудованием для транспортировки, подработки и переработки зерна и круп.

- грамотная организация ремонтно-восстановительных работ (в ночное время) для предотвращения простоя предприятия и соблюдения графиков приёмки/отгрузки зерна и крупы.

- составление сопроводительной (транспортной) документации для перевозки грузов автомобильным и ЖД-транспортом.

- разрабатывал должностные инструкции, трудовые договора, методические указания по выполнению производственных операций на всех участках работы завода, кроме лаборатории (там использовались стандартные).",1
424,Технолог пищевого производства,"- Осуществлять контроль за соблюдением работниками технологической дисциплины, правильной эксплуатацией оборудования. Составлять планы размещения оборудования, технического оснащения и организации рабочих мест, рассчитывать производственные мощности и загрузку оборудования.  Разрабатывать технологические нормативы, рабочие инструкции, разработка спецификации на сырье и материалы, технологические карты и др. технологическую и методическую документацию.  Участвовать в проведении экспериментальных работ по освоению новых технологических процессов и внедрению их в производство. Вносить изменения в техническую документацию в связи с корректировкой технологических процессов и режимов производства. Координировать работу участков цеха, принимать меры по предупреждению и устранению нарушений хода производственного процесса. анализировать причины брака и выпуска продукции низкого качества. Проводить инструктаж с мастерами и рабочими по всем технологическим вопросам. Принятие участия в работе по расширению и обновлению ассортимента выпускаемой продукции. Контроль за соблюдение нормативных выходов продукции и вспомогательных материалов. Контроль за соблюдением рецептур и технических условий выпускаемой продукции. Координация работы работников цеха. Отслеживание минимальных остатков по сырью и готовой продукции..",1
2933,Главный инженер проекта,"• Ответственное лицо за энергохозяйства;
• Организация работы по внедрению комплексной механизации, автоматизации, электрификации и передовых методов организации сельскохозяйственного производства с целью ускорения темпов роста производства и производительности труда.
• Организация правильной эксплуатаций, техническое обслуживание, своевременный планово-предупредительный и текущий ремонт машинотракторного и автомобильного парка, энергетического, электротехнического, слаботокового оборудования, а также электросети хозяйства и других основных средств, для поддержания их в состоянии постоянной технической готовности.
• Разработка перспективных и текущих планов по механизации и автоматизации производственных процессов, трудоемких ручных работ и транспортных операций.
• Организация хранения машин и оборудования в нерабочий период в соответствии с утвержденными правилами.
• Внедрение прогрессивных форм ремонта и технического обслуживания техники, анализирует показатели использования машин и оборудования.
• Участие в совершенствовании организации, нормирования и оплаты труда работников службы механизации и электрификации.
• Организация и контроль ведения технической документации, своевременное и правильное представление установленной отчетности.
• Контроль правильности составления заявок организациями, которые находятся в его подчинении, на приобретение новой техники и оборудования, запасных частей, горюче-смазочных и других материалов.
• Разработка и контроль мер по экономному расходованию электроэнергии, запасных частей, горюче-смазочных и ремонтных материалов в хозяйстве.
• Проведение тендера по выбору проектной организации, подрядной организации и поставщика оборудование;
• Контроль строительных и монтажных работ;
• Контроль соблюдения бюджета;",1
3277,Помощник начальника смены,"Обеспечение бесперебойной работы оборудования, выполнение ремонтных и профилактических работ дежурным персоналом; осуществление контроля за сырьём, материалами, оборудованием, трудовыми ресурсами, а также выявлять и устранять причины нарушений технологии производства и природоохранных мероприятий; анализировал результаты простоя оборудования, снижения качества продукции; участвовал в разработке и внедрении мероприятий по устранению выявленных недостатков; проверка соблюдения рабочими установленного технологического режима; соблюдение состояния охраны труда и пожарной безопасности на вверенном производстве в соответствии с должностной инструкцией комбината; выполнение приказов и распоряжений вышестоящих руководителей, предписаний органов надзора и специалистов охраны труда комбината. 

 Исполнял обязанности Начальника смены во время его отсутствия: внедрял элементы рыночной экономики (хозрасчет), обеспечивающих конкурентоспособность продукции комбината; обеспечение выполнения сменного задания по переработке сырья и выработке сахара, для получения максимальной прибыли; проводил работу по использованию резервов повышения производительности труда, снижению себестоимости и трудоемкости продукции; ежедневное ведение записей основных производственных показателей в Журнале начальника смены и в Журнале по охране труда.

 В своей работе руководствовался действующим законодательством РФ, технологическими нормами и правилами, приказами и распоряжениями руководства комбината, а также должностной инструкцией и инструкцией по ведению технологического процесса свеклосахарного производства.",1
